Out bits shaXX number = 15
----------------------------------------------
Collision number 1: ('0d750a', '0f7589')
Collision number 2: ('dab2f8', '530e13')
Collision number 3: ('f6b7ec', '708156')
Collision number 4: ('04a954', '2b23cc')
Collision number 5: ('f43935', 'bf0db7')
Collision number 6: ('573147', '5ab8b9')
Collision number 7: ('18fc5c', '0a6b04')
Collision number 8: ('a99e97', '758e90')
Collision number 9: ('bbc31b', '53bb52')
Collision number 10: ('9ab8b1', '1f0565')
Collision number 11: ('46dfbd', '71fbb8')
Collision number 12: ('de3c8f', 'b85461')
Collision number 13: ('228528', '213919')
Collision number 14: ('d7245b', 'e75f50')
Collision number 15: ('ff2750', '5ef872')
Collision number 16: ('216bfc', 'ef34ad')
Collision number 17: ('3914b3', '85426c')
Collision number 18: ('0cdcc1', 'cfa18b')
Collision number 19: ('31f755', '89f547')
Collision number 20: ('5c1a59', 'ffdcab')
Collision number 21: ('b1b7d1', 'efa382')
Collision number 22: ('d0ace9', 'dcb158')
Collision number 23: ('0fb283', '9e9737')
Collision number 24: ('634535', 'c39e1c')
Collision number 25: ('2a15f7', 'e72e22')
Collision number 26: ('8e2248', '103182')
Collision number 27: ('ca1beb', 'a0124d')
Collision number 28: ('15fe6d', '75de45')
Collision number 29: ('99212b', '90b01a')
Collision number 30: ('42c62e', '411caa')
Collision number 31: ('438800', '6b58eb')
Collision number 32: ('a6b28f', 'a70ca7')
Collision number 33: ('0b61f9', 'f7fa78')
Collision number 34: ('a4a2d4', '35af0f')
Collision number 35: ('92199c', '71dcd0')
Collision number 36: ('4b92aa', '8a7fb2')
Collision number 37: ('890990', 'a48144')
Collision number 38: ('5f229a', 'aa79b9')
Collision number 39: ('ffc6f2', '72a910')
Collision number 40: ('717af4', '0aa1b9')
Collision number 41: ('219ee2', 'a9c24b')
Collision number 42: ('b154fa', '5eb4d2')
Collision number 43: ('e609eb', 'a3093a')
Collision number 44: ('3a9944', 'd8eda5')
Collision number 45: ('683bb3', 'ce35b3')
Collision number 46: ('7e666f', '7b3984')
Collision number 47: ('ac6b07', 'ac3aa5')
Collision number 48: ('6a66d3', '5c5b79')
Collision number 49: ('16a034', 'dabb70')
Collision number 50: ('d07db3', '18479d')
Collision number 51: ('b88c57', '5fbf89')
Collision number 52: ('300b23', 'cc8532')
Collision number 53: ('bd39f4', '4a1555')
Collision number 54: ('02a9d9', '7aeb2a')
Collision number 55: ('cc22a3', '5f313e')
Collision number 56: ('687916', 'd3aa3a')
Collision number 57: ('a0e6c0', '05c148')
Collision number 58: ('500412', 'f2899d')
Collision number 59: ('821b28', '27cc2d')
Collision number 60: ('a2bd2d', '831ea0')
Collision number 61: ('29c3fc', '5c1a08')
Collision number 62: ('dc7ddb', '65483c')
Collision number 63: ('d0df6c', 'ecbe06')
Collision number 64: ('242df5', '1f4f1d')
Collision number 65: ('e35f2c', '9942e2')
Collision number 66: ('963554', '7934e5')
Collision number 67: ('d3f2cd', '9b5da2')
