Out bits shaXX number = 15
----------------------------------------------
Collision number 1: ('101f37', '88d380')
Collision number 2: ('fcf96e', 'fbe6dc')
Collision number 3: ('ed546e', '79d87d')
Collision number 4: ('415730', '781ab1')
Collision number 5: ('ce20c3', 'c74c74')
Collision number 6: ('c8a762', '83f363')
Collision number 7: ('4b8e03', 'f80d3f')
Collision number 8: ('a8bd4f', 'b69f4d')
Collision number 9: ('f90c22', '34891d')
Collision number 10: ('2c36de', '7ffb12')
Collision number 11: ('429898', '301940')
Collision number 12: ('8ae8e6', '258d07')
Collision number 13: ('a152b4', '300f07')
Collision number 14: ('e330b9', '301811')
Collision number 15: ('51675e', '792452')
Collision number 16: ('0264b2', '3a7a90')
Collision number 17: ('b83f9b', '0e1b8e')
Collision number 18: ('3304fd', 'f580cd')
Collision number 19: ('bc7824', 'f130ee')
Collision number 20: ('2673b6', '15e80c')
Collision number 21: ('f2ff09', '503f57')
Collision number 22: ('5c3710', '67b057')
Collision number 23: ('1bf4d2', '661fa6')
Collision number 24: ('3dec86', 'edc11e')
Collision number 25: ('f16f2d', 'b1dd90')
Collision number 26: ('1cec59', '7094d3')
Collision number 27: ('4ca07f', '5df133')
Collision number 28: ('b96f31', 'f17f96')
Collision number 29: ('942456', '3afd18')
Collision number 30: ('8f8ceb', 'a6b241')
Collision number 31: ('d04f07', 'de3fc3')
Collision number 32: ('a877e0', 'e4bb21')
Collision number 33: ('e8139a', '23bdec')
Collision number 34: ('1e731f', 'eea72b')
Collision number 35: ('cd0f3d', '1befde')
Collision number 36: ('6de718', '27131a')
Collision number 37: ('56fd9b', '214a16')
Collision number 38: ('beb947', '1281a4')
Collision number 39: ('1e16c0', '938c38')
Collision number 40: ('8613ab', 'f15ba9')
Collision number 41: ('0f9035', 'd274ed')
Collision number 42: ('a34e2b', 'a3feb1')
Collision number 43: ('94f546', 'af33dc')
Collision number 44: ('6b7abc', '2b1b73')
Collision number 45: ('5e08b4', 'ed36b0')
Collision number 46: ('055bca', 'd61a57')
Collision number 47: ('026886', '835ef8')
Collision number 48: ('86715a', '0c4890')
Collision number 49: ('f1be7e', '197fa0')
Collision number 50: ('d06a47', '1b9f3e')
Collision number 51: ('61d500', '497a84')
Collision number 52: ('0cacf5', '1ecfaa')
Collision number 53: ('6f57f3', '34c87b')
Collision number 54: ('2a5eb8', 'cda3ca')
Collision number 55: ('51d033', '164f56')
Collision number 56: ('c53cac', '6f6d0a')
Collision number 57: ('41d2d5', 'c87a01')
Collision number 58: ('f7e029', 'b65a29')
Collision number 59: ('339c6a', 'bbdcc0')
Collision number 60: ('13505f', '91689b')
Collision number 61: ('bb2aac', 'da0aef')
Collision number 62: ('c6ea49', 'f034ef')
Collision number 63: ('2a12bc', 'e1ca8c')
Collision number 64: ('2b56a5', 'e8a0ff')
Collision number 65: ('7b3ffe', '8eb432')
Collision number 66: ('e07c19', 'c98092')
Collision number 67: ('e6b4b5', '349813')
Collision number 68: ('37fb70', 'bd2b24')
Collision number 69: ('50e3cf', '793a32')
Collision number 70: ('317534', '5d50d6')
Collision number 71: ('085e8a', '4bbea0')
Collision number 72: ('6ed41d', '9c49bb')
Collision number 73: ('c88e94', '72c42d')
Collision number 74: ('47f617', '93f34e')
Collision number 75: ('56df44', 'bbdded')
Collision number 76: ('a2023d', 'ee64f0')
Collision number 77: ('c47526', '7dd9b7')
Collision number 78: ('e70213', '1f1669')
Collision number 79: ('f1f387', 'f954b9')
Collision number 80: ('488ea7', 'dda0d3')
Collision number 81: ('515e38', '3788d9')
Collision number 82: ('9f9fce', 'de4fc6')
Collision number 83: ('613d37', 'c3aa85')
Collision number 84: ('9d57e8', '9b4d51')
Collision number 85: ('220c95', 'ee7a58')
Collision number 86: ('8ece1e', '097ada')
Collision number 87: ('429669', '46671c')
Collision number 88: ('e7416c', 'bc66bd')
Collision number 89: ('1e3d6c', 'c0374d')
Collision number 90: ('d08cb6', '623393')
Collision number 91: ('acbb17', '11b209')
Collision number 92: ('d17346', 'ca8f71')
Collision number 93: ('309d83', 'a2b7f6')
Collision number 94: ('04d7ca', 'cee12b')
Collision number 95: ('9039aa', 'edc543')
Collision number 96: ('4fad5d', '251a93')
Collision number 97: ('742320', 'fb091a')
Collision number 98: ('efb4a7', '96b842')
Collision number 99: ('2cccce', 'a33aa7')
Collision number 100: ('0e15e2', '5c69f3')
Collision number 101: ('b3f8d0', '2377d5')
Collision number 102: ('e3f7fd', 'c02aa8')
Collision number 103: ('bb6923', '36142b')
Collision number 104: ('2b8503', '48a8cd')
Collision number 105: ('c68233', '4db092')
Collision number 106: ('fe1729', '0d92eb')
Collision number 107: ('63ae38', '569eb5')
Collision number 108: ('f5a72c', 'e7ba88')
Collision number 109: ('23af9f', 'b244f9')
Collision number 110: ('75038b', '7de425')
Collision number 111: ('6982fc', '56b204')
Collision number 112: ('f18cf3', 'ad9d72')
Collision number 113: ('54f506', '186559')
Collision number 114: ('b33558', '26355e')
Collision number 115: ('0b919f', '1ee7f7')
Collision number 116: ('487500', '21f40a')
Collision number 117: ('d89c9d', '853af1')
Collision number 118: ('17f5c1', 'e770d6')
Collision number 119: ('db37b3', 'b98a9e')
Collision number 120: ('d6a886', 'a46525')
Collision number 121: ('394f40', '928018')
Collision number 122: ('c13744', '19aa4b')
Collision number 123: ('a71791', '96cdde')
Collision number 124: ('b1f3b3', '8561ea')
Collision number 125: ('a92a63', '0647e1')
Collision number 126: ('8118e0', 'ba6baf')
Collision number 127: ('780bcf', '60f8f9')
Collision number 128: ('0987e5', '921e67')
Collision number 129: ('5fc72c', 'a61805')
Collision number 130: ('fc772f', 'e2e49c')
Collision number 131: ('c327aa', '626501')
Collision number 132: ('3c8e7c', '53cf49')
Collision number 133: ('15c614', 'c6c83b')
Collision number 134: ('14eb14', '9606e3')
Collision number 135: ('3f5918', 'ae1626')
Collision number 136: ('0fffe0', 'a71e64')
Collision number 137: ('3bab0d', '3df49e')
Collision number 138: ('f00bda', '1b19b4')
Collision number 139: ('5f5a3a', '06963c')
Collision number 140: ('7c6714', '578fc1')
Collision number 141: ('97ba79', '39350f')
Collision number 142: ('267862', 'b26c17')
Collision number 143: ('cf584b', '911c98')
Collision number 144: ('919ac5', 'f9b39a')
Collision number 145: ('e8e3b2', 'fb62c9')
Collision number 146: ('e1d8ef', '319577')
Collision number 147: ('cec715', '532251')
Collision number 148: ('6ede3f', '412c92')
Collision number 149: ('577851', '4c44ad')
Collision number 150: ('912a0b', 'c9163b')
Collision number 151: ('9ad797', 'b3fad0')
Collision number 152: ('85c6e8', '7fc676')
Collision number 153: ('444867', '668c5c')
Collision number 154: ('2a1445', 'c58dc2')
Collision number 155: ('ac7e3a', '1b18e8')
Collision number 156: ('c15ffd', '37c15c')
Collision number 157: ('cbaa32', 'c044a3')
Collision number 158: ('22faf0', '61bfc6')
Collision number 159: ('d35520', 'b40b73')
Collision number 160: ('27a0f2', '2c649c')
Collision number 161: ('996080', '9d7565')
Collision number 162: ('399efd', '3a1150')
Collision number 163: ('f8fa82', 'e56a3d')
Collision number 164: ('66c09c', 'bb5491')
Collision number 165: ('e7ebba', 'c0ee30')
Collision number 166: ('a19935', 'fc3a47')
Collision number 167: ('926e34', 'e53b24')
Collision number 168: ('2d2edc', 'aa5cfb')
Collision number 169: ('d83550', '9a74c8')
Collision number 170: ('9dd8ea', 'c0ed99')
Collision number 171: ('74d256', 'bc0930')
Collision number 172: ('5bd3e1', '592ae4')
Collision number 173: ('2f4e3d', '0ade89')
Collision number 174: ('44892e', 'a08e6c')
Collision number 175: ('8ae7b2', '8d5069')
Collision number 176: ('5ccb7a', '8f1ff5')
