Out bits shaXX number = 15
----------------------------------------------
Collision number 1: ('0000e2', '00d036')
Collision number 2: ('00c28a', '007678')
Collision number 3: ('00c28a', '007678')
Collision number 4: ('00c28a', '007678')
Collision number 5: ('00c28a', '007678')
Collision number 6: ('00c28a', '007678')
Collision number 7: ('00c28a', '007678')
Collision number 8: ('00c28a', '007678')
Collision number 9: ('00085e', '00ad6c')
Collision number 10: ('00c28a', '007678')
Collision number 11: ('00c28a', '007678')
Collision number 12: ('0014fe', '00d53c')
Collision number 13: ('00c28a', '007678')
Collision number 14: ('00c28a', '007678')
Collision number 15: ('00c28a', '007678')
Collision number 16: ('009aae', '00fbc2')
Collision number 17: ('00c28a', '007678')
Collision number 18: ('0014fe', '00d53c')
Collision number 19: ('0014fe', '00d53c')
Collision number 20: ('00c28a', '007678')
Collision number 21: ('009aae', '00fbc2')
Collision number 22: ('00c28a', '007678')
Collision number 23: ('00c28a', '007678')
Collision number 24: ('00085e', '000f42')
Collision number 25: ('00c28a', '007678')
Collision number 26: ('00c28a', '007678')
Collision number 27: ('00c28a', '007678')
Collision number 28: ('00db3e', '00ba1a')
Collision number 29: ('00c28a', '007678')
Collision number 30: ('00c28a', '007678')
Collision number 31: ('00c28a', '007678')
Collision number 32: ('00c28a', '007678')
Collision number 33: ('00c28a', '007678')
Collision number 34: ('00c28a', '007678')
Collision number 35: ('00c28a', '007678')
Collision number 36: ('00c28a', '007678')
Collision number 37: ('00c28a', '007678')
Collision number 38: ('00c28a', '007678')
Collision number 39: ('0014fe', '00d53c')
Collision number 40: ('00c28a', '007678')
Collision number 41: ('000052', '00b4f2')
Collision number 42: ('00c28a', '007678')
Collision number 43: ('0014fe', '00d53c')
Collision number 44: ('00085e', '000f42')
Collision number 45: ('00c28a', '007678')
Collision number 46: ('00c28a', '007678')
Collision number 47: ('002272', '00a7a8')
Collision number 48: ('00c28a', '007678')
Collision number 49: ('00517c', '00f438')
Collision number 50: ('0014fe', '00d53c')
Collision number 51: ('000b0a', '00b1e2')
Collision number 52: ('00517c', '0097dc')
Collision number 53: ('00c28a', '007678')
Collision number 54: ('00c28a', '007678')
Collision number 55: ('00c28a', '007678')
Collision number 56: ('0014fe', '00d53c')
Collision number 57: ('000ca6', '00c680')
Collision number 58: ('00c28a', '007678')
Collision number 59: ('00c28a', '007678')
Collision number 60: ('002070', '00d190')
Collision number 61: ('00c28a', '007678')
Collision number 62: ('00c28a', '007678')
Collision number 63: ('00db3e', '00ba1a')
Collision number 64: ('00c28a', '007678')
Collision number 65: ('00c28a', '007678')
Collision number 66: ('00c28a', '007678')
Collision number 67: ('00c28a', '007678')
Collision number 68: ('00d682', '00683c')
Collision number 69: ('00c28a', '007678')
Collision number 70: ('00c28a', '007678')
Collision number 71: ('000a1c', '000ea0')
Collision number 72: ('00c28a', '007678')
Collision number 73: ('00c28a', '007678')
Collision number 74: ('00c28a', '007678')
Collision number 75: ('0014fe', '00d53c')
Collision number 76: ('00c28a', '007678')
Collision number 77: ('005eb2', '00dc80')
Collision number 78: ('00c28a', '007678')
Collision number 79: ('00c28a', '007678')
Collision number 80: ('0014fe', '00d53c')
Collision number 81: ('00c28a', '007678')
Collision number 82: ('00c28a', '007678')
Collision number 83: ('00c28a', '007678')
Collision number 84: ('000052', '00b4f2')
Collision number 85: ('000052', '00b4f2')
Collision number 86: ('000b0a', '00b1e2')
Collision number 87: ('009aae', '00fbc2')
Collision number 88: ('00517c', '0097dc')
Collision number 89: ('00c28a', '007678')
Collision number 90: ('007c52', '001716')
Collision number 91: ('00c28a', '007678')
Collision number 92: ('002070', '00d190')
Collision number 93: ('00efe4', '00fe50')
Collision number 94: ('00c28a', '007678')
Collision number 95: ('00fa1e', '003b20')
Collision number 96: ('00c28a', '007678')
Collision number 97: ('009aae', '00fbc2')
Collision number 98: ('00c28a', '007678')
Collision number 99: ('00c28a', '007678')
Collision number 100: ('00c28a', '007678')
Collision number 101: ('00c28a', '007678')
Collision number 102: ('0014fe', '00d53c')
Collision number 103: ('00c28a', '007678')
Collision number 104: ('002070', '00d190')
Collision number 105: ('00c28a', '007678')
Collision number 106: ('00c28a', '007678')
Collision number 107: ('00cab0', '00db4a')
Collision number 108: ('000052', '00b4f2')
Collision number 109: ('00f36a', '001c48')
Collision number 110: ('00f87a', '0054e2')
Collision number 111: ('00c28a', '007678')
Collision number 112: ('007c52', '001716')
Collision number 113: ('002070', '00d190')
Collision number 114: ('002070', '00d190')
Collision number 115: ('002070', '00d190')
Collision number 116: ('002272', '00a7a8')
Collision number 117: ('00517c', '0097dc')
Collision number 118: ('00c28a', '007678')
Collision number 119: ('00c28a', '007678')
Collision number 120: ('002070', '00d190')
Collision number 121: ('000b0a', '00bf56')
Collision number 122: ('00c28a', '007678')
Collision number 123: ('00c28a', '007678')
Collision number 124: ('003988', '005b0c')
Collision number 125: ('000052', '00b4f2')
Collision number 126: ('00c28a', '007678')
Collision number 127: ('009102', '00d08e')
Collision number 128: ('00fa1e', '003b20')
Collision number 129: ('00c28a', '007678')
Collision number 130: ('00e768', '007210')
Collision number 131: ('00c798', '00eed2')
Collision number 132: ('00c28a', '007678')
Collision number 133: ('00c28a', '007678')
Collision number 134: ('00c28a', '007678')
Collision number 135: ('00c28a', '007678')
Collision number 136: ('00c28a', '007678')
Collision number 137: ('0075e0', '0097b6')
Collision number 138: ('00c28a', '007678')
Collision number 139: ('0018e8', '00f178')
Collision number 140: ('00c28a', '007678')
Collision number 141: ('0014fe', '00d53c')
Collision number 142: ('002070', '00d190')
Collision number 143: ('00c28a', '007678')
Collision number 144: ('000ca6', '00c680')
Collision number 145: ('00c28a', '007678')
Collision number 146: ('00c28a', '007678')
Collision number 147: ('00c28a', '007678')
Collision number 148: ('00c28a', '007678')
Collision number 149: ('00c28a', '007678')
Collision number 150: ('00c28a', '007678')
Collision number 151: ('007680', '0094d4')
Collision number 152: ('00c28a', '007678')
Collision number 153: ('00c28a', '007678')
Collision number 154: ('00c28a', '007678')
Collision number 155: ('00c28a', '007678')
Collision number 156: ('002070', '00d190')
Collision number 157: ('00c28a', '007678')
Collision number 158: ('00c28a', '007678')
Collision number 159: ('00085e', '000f42')
Collision number 160: ('009aae', '00fbc2')
Collision number 161: ('00c28a', '007678')
Collision number 162: ('009aae', '00fbc2')
Collision number 163: ('005eb2', '00dc80')
Collision number 164: ('00ddd2', '00ed0e')
Collision number 165: ('000052', '00b4f2')
Collision number 166: ('00c28a', '007678')
Collision number 167: ('00c28a', '007678')
Collision number 168: ('000ca6', '00c680')
Collision number 169: ('0014fe', '00d53c')
Collision number 170: ('00c28a', '007678')
Collision number 171: ('00ed3a', '004490')
Collision number 172: ('00c28a', '007678')
Collision number 173: ('00c28a', '007678')
Collision number 174: ('00517c', '0097dc')
Collision number 175: ('00c28a', '007678')
Collision number 176: ('009aae', '00fbc2')
Collision number 177: ('002070', '00d190')
Collision number 178: ('0014fe', '00d53c')
Collision number 179: ('00c28a', '007678')
Collision number 180: ('00c28a', '007678')
Collision number 181: ('00c28a', '007678')
Collision number 182: ('00c28a', '007678')
Collision number 183: ('00c28a', '007678')
Collision number 184: ('00c28a', '007678')
Collision number 185: ('00c28a', '007678')
Collision number 186: ('003988', '0065aa')
Collision number 187: ('00c28a', '007678')
Collision number 188: ('0014fe', '00d53c')
Collision number 189: ('000f0e', '00f19a')
Collision number 190: ('00c28a', '007678')
Collision number 191: ('00c28a', '007678')
Collision number 192: ('00c28a', '007678')
Collision number 193: ('0014fe', '00d53c')
Collision number 194: ('00c28a', '007678')
Collision number 195: ('00c28a', '007678')
Collision number 196: ('00085e', '000f42')
Collision number 197: ('00c28a', '007678')
Collision number 198: ('00b8a6', '002230')
Collision number 199: ('00c28a', '007678')
Collision number 200: ('00c28a', '007678')
Out bits shaXX number = 16
----------------------------------------------
Collision number 1: ('006bcc', '0063f7')
Collision number 2: ('006bcc', '0063f7')
Collision number 3: ('006bcc', '0063f7')
Collision number 4: ('006bcc', '0063f7')
Collision number 5: ('002d3a', '00790e')
Collision number 6: ('006bcc', '0063f7')
Collision number 7: ('007158', '00d6c1')
Collision number 8: ('007158', '00d6c1')
Collision number 9: ('002d3a', '00790e')
Collision number 10: ('006bcc', '0063f7')
Collision number 11: ('0091ae', '003ef8')
Collision number 12: ('007158', '00d6c1')
Collision number 13: ('006bcc', '0063f7')
Collision number 14: ('006bcc', '0063f7')
Collision number 15: ('002d3a', '00790e')
Collision number 16: ('006bcc', '0063f7')
Collision number 17: ('00cfde', '00ae1c')
Collision number 18: ('006bcc', '0063f7')
Collision number 19: ('006bcc', '0063f7')
Collision number 20: ('007158', '00d6c1')
Collision number 21: ('002d3a', '00790e')
Collision number 22: ('006bcc', '0063f7')
Collision number 23: ('006bcc', '0063f7')
Collision number 24: ('006bcc', '0063f7')
Collision number 25: ('007158', '00d6c1')
Collision number 26: ('006bcc', '0063f7')
Collision number 27: ('006bcc', '0063f7')
Collision number 28: ('007158', '00d6c1')
Collision number 29: ('007158', '00d6c1')
Collision number 30: ('006bcc', '0063f7')
Collision number 31: ('007158', '00d6c1')
Collision number 32: ('006bcc', '0063f7')
Collision number 33: ('007158', '00d6c1')
Collision number 34: ('002d3a', '00790e')
Collision number 35: ('006bcc', '0063f7')
Collision number 36: ('002d3a', '00790e')
Collision number 37: ('007158', '00d6c1')
Collision number 38: ('007158', '00d6c1')
Collision number 39: ('006bcc', '0063f7')
Collision number 40: ('002d3a', '00790e')
Collision number 41: ('006bcc', '0063f7')
Collision number 42: ('006bcc', '0063f7')
Collision number 43: ('006bcc', '0063f7')
Collision number 44: ('006bcc', '0063f7')
Collision number 45: ('002d3a', '00790e')
Collision number 46: ('006bcc', '0063f7')
Collision number 47: ('006bcc', '0063f7')
Collision number 48: ('007b46', '007292')
Collision number 49: ('006bcc', '0063f7')
Collision number 50: ('006bcc', '0063f7')
Collision number 51: ('006bcc', '0063f7')
Collision number 52: ('006bcc', '0063f7')
Collision number 53: ('008107', '00bd24')
Collision number 54: ('006bcc', '0063f7')
Collision number 55: ('006bcc', '0063f7')
Collision number 56: ('007158', '00d6c1')
Collision number 57: ('006bcc', '0063f7')
Collision number 58: ('006bcc', '0063f7')
Collision number 59: ('006bcc', '0063f7')
Collision number 60: ('006bcc', '0063f7')
Collision number 61: ('007158', '00d6c1')
Collision number 62: ('006bcc', '0063f7')
Collision number 63: ('006bcc', '0063f7')
Collision number 64: ('007158', '00d6c1')
Collision number 65: ('008107', '00bd24')
Collision number 66: ('001372', '003fed')
Collision number 67: ('006bcc', '0063f7')
Collision number 68: ('006bcc', '0063f7')
Collision number 69: ('007158', '00d6c1')
Collision number 70: ('006bcc', '0063f7')
Collision number 71: ('006bcc', '0063f7')
Collision number 72: ('006bcc', '0063f7')
Collision number 73: ('006bcc', '0063f7')
Collision number 74: ('006bcc', '0063f7')
Collision number 75: ('006bcc', '0063f7')
Collision number 76: ('006bcc', '0063f7')
Collision number 77: ('006bcc', '0063f7')
Collision number 78: ('006bcc', '0063f7')
Collision number 79: ('006bcc', '0063f7')
Collision number 80: ('007158', '00d6c1')
Collision number 81: ('006bcc', '0063f7')
Collision number 82: ('007158', '00d6c1')
Collision number 83: ('006bcc', '0063f7')
Collision number 84: ('007158', '00d6c1')
Collision number 85: ('007158', '00d6c1')
Collision number 86: ('006bcc', '0063f7')
Collision number 87: ('007158', '00d6c1')
Collision number 88: ('006bcc', '0063f7')
Collision number 89: ('007158', '00d6c1')
Collision number 90: ('006bcc', '0063f7')
Collision number 91: ('007158', '00d6c1')
Collision number 92: ('007158', '00d6c1')
Collision number 93: ('007158', '00d6c1')
Collision number 94: ('002d3a', '00790e')
Collision number 95: ('006bcc', '0063f7')
Collision number 96: ('006bcc', '0063f7')
Collision number 97: ('006bcc', '0063f7')
Collision number 98: ('006bcc', '0063f7')
Collision number 99: ('006bcc', '0063f7')
Collision number 100: ('006bcc', '0063f7')
Collision number 101: ('006bcc', '0063f7')
Collision number 102: ('008107', '00bd24')
Collision number 103: ('006bcc', '0063f7')
Collision number 104: ('006bcc', '0063f7')
Collision number 105: ('007158', '00d6c1')
Collision number 106: ('00cfde', '00ae1c')
Collision number 107: ('006bcc', '0063f7')
Collision number 108: ('006bcc', '0063f7')
Collision number 109: ('006bcc', '0063f7')
Collision number 110: ('002d3a', '00790e')
Collision number 111: ('006bcc', '0063f7')
Collision number 112: ('006bcc', '0063f7')
Collision number 113: ('007158', '00d6c1')
Collision number 114: ('006bcc', '0063f7')
Collision number 115: ('002d3a', '00790e')
Collision number 116: ('006bcc', '0063f7')
Collision number 117: ('006bcc', '0063f7')
Collision number 118: ('006bcc', '0063f7')
Collision number 119: ('006bcc', '0063f7')
Collision number 120: ('001c03', '0059b2')
Collision number 121: ('006bcc', '0063f7')
Collision number 122: ('007158', '00d6c1')
Collision number 123: ('007158', '00d6c1')
Collision number 124: ('006bcc', '0063f7')
Collision number 125: ('007158', '00d6c1')
Collision number 126: ('006bcc', '0063f7')
Collision number 127: ('006bcc', '0063f7')
Collision number 128: ('007158', '00d6c1')
Collision number 129: ('006bcc', '0063f7')
Collision number 130: ('006bcc', '0063f7')
Collision number 131: ('007158', '00d6c1')
Collision number 132: ('006bcc', '0063f7')
Collision number 133: ('006bcc', '0063f7')
Collision number 134: ('006bcc', '0063f7')
Collision number 135: ('006bcc', '0063f7')
Collision number 136: ('006bcc', '0063f7')
Collision number 137: ('007158', '00d6c1')
Collision number 138: ('006bcc', '0063f7')
Collision number 139: ('007158', '00d6c1')
Collision number 140: ('007158', '00d6c1')
Collision number 141: ('00cfde', '00d944')
Collision number 142: ('006bcc', '0063f7')
Collision number 143: ('008107', '00bd24')
Collision number 144: ('006bcc', '0063f7')
Collision number 145: ('006bcc', '0063f7')
Collision number 146: ('006bcc', '0063f7')
Collision number 147: ('006bcc', '0063f7')
Collision number 148: ('002d3a', '00790e')
Collision number 149: ('007158', '00d6c1')
Collision number 150: ('007158', '00d6c1')
Collision number 151: ('007158', '00d6c1')
Collision number 152: ('002d3a', '00790e')
Collision number 153: ('007158', '00d6c1')
Collision number 154: ('006bcc', '0063f7')
Collision number 155: ('008107', '00bd24')
Collision number 156: ('008107', '00bd24')
Collision number 157: ('006bcc', '0063f7')
Collision number 158: ('008107', '00aff4')
Collision number 159: ('006bcc', '0063f7')
Collision number 160: ('006bcc', '0063f7')
Collision number 161: ('006bcc', '0063f7')
Collision number 162: ('006bcc', '0063f7')
Collision number 163: ('00cfde', '00f1a4')
Collision number 164: ('007158', '00d6c1')
Collision number 165: ('007158', '00d6c1')
Collision number 166: ('007b46', '007292')
Collision number 167: ('006bcc', '0063f7')
Collision number 168: ('006bcc', '0063f7')
Collision number 169: ('006bcc', '0063f7')
Collision number 170: ('006bcc', '0063f7')
Collision number 171: ('006bcc', '0063f7')
Collision number 172: ('006bcc', '0063f7')
Collision number 173: ('006bcc', '0063f7')
Collision number 174: ('007158', '00d6c1')
Collision number 175: ('008107', '00bd24')
Collision number 176: ('006bcc', '0063f7')
Collision number 177: ('006bcc', '0063f7')
Collision number 178: ('006bcc', '0063f7')
Collision number 179: ('002d3a', '00790e')
Collision number 180: ('006bcc', '0063f7')
Collision number 181: ('0001f8', '00b682')
Collision number 182: ('006bcc', '0063f7')
Collision number 183: ('007158', '00d6c1')
Collision number 184: ('007158', '00d6c1')
Collision number 185: ('008107', '00bd24')
Collision number 186: ('006bcc', '0063f7')
Collision number 187: ('006bcc', '0063f7')
Collision number 188: ('007158', '00d6c1')
Collision number 189: ('006bcc', '0063f7')
Collision number 190: ('006bcc', '0063f7')
Collision number 191: ('006bcc', '0063f7')
Collision number 192: ('00cfde', '00f1a4')
Collision number 193: ('002d3a', '00790e')
Collision number 194: ('007158', '00d6c1')
Collision number 195: ('006bcc', '0063f7')
Collision number 196: ('006bcc', '0063f7')
Collision number 197: ('006bcc', '0063f7')
Collision number 198: ('006bcc', '0063f7')
Collision number 199: ('006bcc', '0063f7')
Collision number 200: ('006bcc', '0063f7')
Out bits shaXX number = 17
----------------------------------------------
Collision number 1: ('000ed180', '00afbd00')
Collision number 2: ('000ed180', '00afbd00')
Collision number 3: ('00f4a480', '002db280')
Collision number 4: ('00f4a480', '002db280')
Collision number 5: ('00f4a480', '002db280')
Collision number 6: ('00f4a480', '002db280')
Collision number 7: ('00f4a480', '002db280')
Collision number 8: ('00bb4000', '00d6c480')
Collision number 9: ('005eb280', '00060f00')
Collision number 10: ('005eb280', '00060f00')
Collision number 11: ('000ed180', '00afbd00')
Collision number 12: ('00f4a480', '002db280')
Collision number 13: ('00f4a480', '002db280')
Collision number 14: ('000ed180', '00afbd00')
Collision number 15: ('00f4a480', '002db280')
Collision number 16: ('00f4a480', '002db280')
Collision number 17: ('00f4a480', '002db280')
Collision number 18: ('00f4a480', '002db280')
Collision number 19: ('00f4a480', '002db280')
Collision number 20: ('00f4a480', '002db280')
Collision number 21: ('00f4a480', '002db280')
Collision number 22: ('00f4a480', '002db280')
Collision number 23: ('00f4a480', '002db280')
Collision number 24: ('00bb4000', '00d6c480')
Collision number 25: ('000ed180', '00afbd00')
Collision number 26: ('00f4a480', '002db280')
Collision number 27: ('00f4a480', '002db280')
Collision number 28: ('00f4a480', '002db280')
Collision number 29: ('00f4a480', '002db280')
Collision number 30: ('005eb280', '00060f00')
Collision number 31: ('00f4a480', '002db280')
Collision number 32: ('00f4a480', '002db280')
Collision number 33: ('00f4a480', '002db280')
Collision number 34: ('002f4780', '00a2fc80')
Collision number 35: ('00f4a480', '002db280')
Collision number 36: ('00f4a480', '002db280')
Collision number 37: ('00f4a480', '002db280')
Collision number 38: ('00f4a480', '002db280')
Collision number 39: ('00f4a480', '002db280')
Collision number 40: ('00f4a480', '002db280')
Collision number 41: ('00f4a480', '002db280')
Collision number 42: ('00f4a480', '002db280')
Collision number 43: ('00f4a480', '002db280')
Collision number 44: ('00f4a480', '002db280')
Collision number 45: ('00f4a480', '002db280')
Collision number 46: ('00f4a480', '002db280')
Collision number 47: ('00f4a480', '002db280')
Collision number 48: ('00f4a480', '002db280')
Collision number 49: ('00f4a480', '002db280')
Collision number 50: ('000ed180', '00afbd00')
Collision number 51: ('00f4a480', '002db280')
Collision number 52: ('00f4a480', '002db280')
Collision number 53: ('00452f00', '00895280')
Collision number 54: ('000ed180', '00afbd00')
Collision number 55: ('00f4a480', '002db280')
Collision number 56: ('000ed180', '00afbd00')
Collision number 57: ('00f4a480', '002db280')
Collision number 58: ('00546f80', '00763180')
Collision number 59: ('0081df80', '0049c080')
Collision number 60: ('00f4a480', '002db280')
Collision number 61: ('000ed180', '00afbd00')
Collision number 62: ('00f4a480', '002db280')
Collision number 63: ('00f4a480', '002db280')
Collision number 64: ('00f4a480', '002db280')
Collision number 65: ('00f4a480', '002db280')
Collision number 66: ('000ed180', '00afbd00')
Collision number 67: ('000ed180', '00afbd00')
Collision number 68: ('000ed180', '00afbd00')
Collision number 69: ('000ed180', '00afbd00')
Collision number 70: ('00f4a480', '002db280')
Collision number 71: ('00f4a480', '002db280')
Collision number 72: ('00a73c80', '00e21800')
Collision number 73: ('0081df80', '0049c080')
Collision number 74: ('00f4a480', '002db280')
Collision number 75: ('00f4a480', '002db280')
Collision number 76: ('00f4a480', '002db280')
Collision number 77: ('00f4a480', '002db280')
Collision number 78: ('00f4a480', '002db280')
Collision number 79: ('00f4a480', '002db280')
