Out bits shaXX number = 15
----------------------------------------------
Collision number 1: ('00c28a', '007678')
Collision number 2: ('00c28a', '007678')
Collision number 3: ('00c28a', '007678')
Collision number 4: ('00c28a', '007678')
Collision number 5: ('00c28a', '007678')
Collision number 6: ('009aae', '00fbc2')
Collision number 7: ('00c28a', '007678')
Collision number 8: ('00085e', '00ad6c')
Collision number 9: ('00c28a', '007678')
Collision number 10: ('000b0a', '00b1e2')
Collision number 11: ('00085e', '000f42')
Collision number 12: ('00c28a', '007678')
Collision number 13: ('00c28a', '007678')
Collision number 14: ('00c28a', '007678')
Collision number 15: ('0033ca', '001bde')
Collision number 16: ('0014fe', '00d53c')
Collision number 17: ('00c28a', '007678')
Collision number 18: ('00c28a', '007678')
Collision number 19: ('00c28a', '007678')
Collision number 20: ('00085e', '000f42')
Collision number 21: ('00c28a', '007678')
Collision number 22: ('00c28a', '007678')
Collision number 23: ('0014fe', '00d53c')
Collision number 24: ('00788e', '00e772')
Collision number 25: ('00c28a', '007678')
Collision number 26: ('00c28a', '007678')
Collision number 27: ('00c28a', '007678')
Collision number 28: ('00c28a', '007678')
Collision number 29: ('00c28a', '007678')
Collision number 30: ('00085e', '00ad6c')
Collision number 31: ('007c52', '001716')
Collision number 32: ('00c28a', '007678')
Collision number 33: ('00c28a', '007678')
Collision number 34: ('00c28a', '007678')
Collision number 35: ('00e24c', '00a912')
Collision number 36: ('002070', '00d190')
Collision number 37: ('00c28a', '007678')
Collision number 38: ('009aae', '00fbc2')
Collision number 39: ('00c28a', '007678')
Collision number 40: ('0014fe', '00d53c')
Collision number 41: ('0018e8', '00f178')
Collision number 42: ('00c28a', '007678')
Collision number 43: ('00c28a', '007678')
Collision number 44: ('00c28a', '007678')
Collision number 45: ('002070', '00d190')
Collision number 46: ('00c28a', '007678')
Collision number 47: ('00c28a', '007678')
Collision number 48: ('00c28a', '007678')
Collision number 49: ('00c28a', '007678')
Collision number 50: ('0014fe', '00d53c')
Collision number 51: ('009102', '00d08e')
Collision number 52: ('009aae', '00fbc2')
Collision number 53: ('00c28a', '007678')
Collision number 54: ('000b0a', '00bf56')
Collision number 55: ('00c28a', '007678')
Collision number 56: ('0014fe', '00d53c')
Collision number 57: ('00c28a', '007678')
Collision number 58: ('002070', '00d190')
Collision number 59: ('00c28a', '007678')
Collision number 60: ('002070', '00d190')
Collision number 61: ('00cab0', '00db4a')
Collision number 62: ('00c28a', '007678')
Collision number 63: ('00c28a', '007678')
Collision number 64: ('00c28a', '007678')
Collision number 65: ('00c28a', '007678')
Collision number 66: ('0093a2', '0093a2')
Collision number 67: ('00c28a', '007678')
Collision number 68: ('00ece0', '0049c6')
Collision number 69: ('00c28a', '007678')
Collision number 70: ('00c28a', '007678')
Collision number 71: ('00c28a', '007678')
Collision number 72: ('000052', '00b4f2')
Collision number 73: ('0014fe', '00d53c')
Collision number 74: ('00c28a', '007678')
Collision number 75: ('00c28a', '007678')
Collision number 76: ('0011c2', '0011c2')
Collision number 77: ('00c28a', '007678')
Collision number 78: ('002070', '00d190')
Collision number 79: ('00c28a', '007678')
Collision number 80: ('007c52', '001716')
Collision number 81: ('00c28a', '007678')
Collision number 82: ('00c28a', '007678')
Collision number 83: ('000052', '00b4f2')
Collision number 84: ('00c28a', '007678')
Collision number 85: ('002070', '00d190')
Collision number 86: ('00c28a', '007678')
Collision number 87: ('00c28a', '007678')
Collision number 88: ('00c28a', '007678')
Collision number 89: ('00c28a', '007678')
Collision number 90: ('00c28a', '007678')
Collision number 91: ('00c28a', '007678')
Collision number 92: ('0014fe', '00d53c')
Collision number 93: ('00c28a', '007678')
Collision number 94: ('009aae', '00fbc2')
Collision number 95: ('00c28a', '007678')
Collision number 96: ('00c28a', '007678')
Collision number 97: ('00c28a', '007678')
Collision number 98: ('00c28a', '007678')
Collision number 99: ('00085e', '00ad6c')
Collision number 100: ('000ca6', '00c680')
Collision number 101: ('00c28a', '007678')
Collision number 102: ('00c28a', '007678')
Collision number 103: ('00c28a', '007678')
Collision number 104: ('00c28a', '007678')
Collision number 105: ('00c28a', '007678')
Collision number 106: ('00c28a', '007678')
Collision number 107: ('00c28a', '007678')
Collision number 108: ('00c28a', '007678')
Collision number 109: ('002070', '00d190')
Collision number 110: ('000b0a', '00bf56')
Collision number 111: ('00c28a', '007678')
Collision number 112: ('000b0a', '00bf56')
Collision number 113: ('00c28a', '007678')
Collision number 114: ('00c28a', '007678')
Collision number 115: ('0050ba', '00088c')
Collision number 116: ('00c28a', '007678')
Collision number 117: ('00c28a', '007678')
Collision number 118: ('00cab0', '00db4a')
Collision number 119: ('005d64', '00377e')
Collision number 120: ('00c28a', '007678')
Collision number 121: ('00c28a', '007678')
Collision number 122: ('00c28a', '007678')
Collision number 123: ('00c28a', '007678')
Collision number 124: ('00c28a', '007678')
Collision number 125: ('00c28a', '007678')
Collision number 126: ('00c28a', '007678')
Collision number 127: ('000ca6', '00c680')
Collision number 128: ('00c28a', '007678')
Collision number 129: ('00c28a', '007678')
Collision number 130: ('00c28a', '007678')
Collision number 131: ('000b0a', '00bf56')
Collision number 132: ('0014fe', '00d53c')
Collision number 133: ('001d8a', '00096a')
Collision number 134: ('000ca6', '00c680')
Collision number 135: ('000fde', '001bf4')
Collision number 136: ('000b0a', '00bf56')
Collision number 137: ('002070', '00d190')
Collision number 138: ('00c28a', '007678')
Collision number 139: ('00c28a', '007678')
Collision number 140: ('009aae', '00fbc2')
Collision number 141: ('002070', '00d190')
Collision number 142: ('0014fe', '00d53c')
Collision number 143: ('000052', '00b4f2')
Collision number 144: ('00c28a', '007678')
Collision number 145: ('002070', '00d190')
Collision number 146: ('001d8a', '00096a')
Collision number 147: ('0014fe', '00d53c')
Collision number 148: ('00c28a', '007678')
Collision number 149: ('00e24c', '00a912')
Collision number 150: ('00c28a', '007678')
Collision number 151: ('0074b6', '00582e')
Collision number 152: ('00c28a', '007678')
Collision number 153: ('002272', '00a7a8')
Collision number 154: ('00c28a', '007678')
Collision number 155: ('000b0a', '00b1e2')
Collision number 156: ('00c28a', '007678')
Collision number 157: ('00c28a', '007678')
Collision number 158: ('00c28a', '007678')
Collision number 159: ('00c28a', '007678')
Collision number 160: ('000ca6', '00c680')
Collision number 161: ('00c28a', '007678')
Collision number 162: ('00c28a', '007678')
Collision number 163: ('003a0e', '005a90')
Collision number 164: ('0014fe', '00d53c')
Collision number 165: ('00dc3c', '006e04')
Collision number 166: ('007c52', '001716')
Collision number 167: ('004656', '004656')
Collision number 168: ('007c52', '001716')
Collision number 169: ('002f7a', '002f7a')
Collision number 170: ('00c28a', '007678')
Collision number 171: ('0014fe', '00d53c')
Collision number 172: ('00c28a', '007678')
Collision number 173: ('00c28a', '007678')
Collision number 174: ('00c28a', '007678')
Collision number 175: ('005668', '00fd14')
Collision number 176: ('0000e2', '00d036')
Collision number 177: ('00c28a', '007678')
Collision number 178: ('00635c', '006e3e')
Collision number 179: ('00c28a', '007678')
Collision number 180: ('00ddd2', '00ed0e')
Collision number 181: ('000ca6', '00c680')
Collision number 182: ('00fa1e', '003b20')
Collision number 183: ('00c28a', '007678')
Collision number 184: ('00c28a', '007678')
Collision number 185: ('00c28a', '007678')
Collision number 186: ('007680', '001ea8')
Collision number 187: ('00c28a', '007678')
Collision number 188: ('00c28a', '007678')
Collision number 189: ('0075e0', '0097b6')
Collision number 190: ('00c28a', '007678')
Collision number 191: ('0014fe', '00d53c')
Collision number 192: ('00c28a', '007678')
Collision number 193: ('00c28a', '007678')
Collision number 194: ('00c28a', '007678')
Collision number 195: ('00c28a', '007678')
Collision number 196: ('00325a', '007ca8')
Collision number 197: ('0014fe', '00d53c')
Collision number 198: ('00c28a', '007678')
Collision number 199: ('00325a', '007ca8')
Collision number 200: ('00c28a', '007678')
Out bits shaXX number = 16
----------------------------------------------
Collision number 1: ('006bcc', '0063f7')
Collision number 2: ('007158', '00d6c1')
Collision number 3: ('006bcc', '0063f7')
Collision number 4: ('006bcc', '0063f7')
Collision number 5: ('007158', '00d6c1')
Collision number 6: ('007158', '00d6c1')
Collision number 7: ('006bcc', '0063f7')
Collision number 8: ('008107', '00bd24')
Collision number 9: ('007158', '00d6c1')
Collision number 10: ('002d3a', '00790e')
Collision number 11: ('006bcc', '0063f7')
Collision number 12: ('006bcc', '0063f7')
Collision number 13: ('006bcc', '0063f7')
Collision number 14: ('007158', '00d6c1')
Collision number 15: ('006bcc', '0063f7')
Collision number 16: ('006bcc', '0063f7')
Collision number 17: ('006bcc', '0063f7')
Collision number 18: ('006bcc', '0063f7')
Collision number 19: ('006bcc', '0063f7')
Collision number 20: ('007158', '00d6c1')
Collision number 21: ('007158', '00d6c1')
Collision number 22: ('0016c9', '0016c9')
Collision number 23: ('006bcc', '0063f7')
Collision number 24: ('006bcc', '0063f7')
Collision number 25: ('007158', '00d6c1')
Collision number 26: ('006bcc', '0063f7')
Collision number 27: ('006bcc', '0063f7')
Collision number 28: ('006bcc', '0063f7')
Collision number 29: ('007158', '00d6c1')
Collision number 30: ('006bcc', '0063f7')
Collision number 31: ('006bcc', '0063f7')
Collision number 32: ('006bcc', '0063f7')
Collision number 33: ('006bcc', '0063f7')
Collision number 34: ('006bcc', '0063f7')
Collision number 35: ('006bcc', '0063f7')
Collision number 36: ('008107', '00bd24')
Collision number 37: ('008107', '00bd24')
Collision number 38: ('007158', '00d6c1')
Collision number 39: ('007158', '00d6c1')
Collision number 40: ('006bcc', '0063f7')
Collision number 41: ('008107', '00aff4')
Collision number 42: ('0001f8', '00b682')
Collision number 43: ('006bcc', '0063f7')
Collision number 44: ('006bcc', '0063f7')
Collision number 45: ('002d3a', '00790e')
Collision number 46: ('007158', '00d6c1')
Collision number 47: ('006bcc', '0063f7')
Collision number 48: ('006bcc', '0063f7')
Collision number 49: ('007158', '00d6c1')
Collision number 50: ('006bcc', '0063f7')
Collision number 51: ('006bcc', '0063f7')
Collision number 52: ('006bcc', '0063f7')
Collision number 53: ('006bcc', '0063f7')
Collision number 54: ('006bcc', '0063f7')
Collision number 55: ('007158', '00d6c1')
Collision number 56: ('006bcc', '0063f7')
Collision number 57: ('007158', '00d6c1')
Collision number 58: ('007158', '00d6c1')
Collision number 59: ('006bcc', '0063f7')
Collision number 60: ('006bcc', '0063f7')
Collision number 61: ('006bcc', '0063f7')
Collision number 62: ('006bcc', '0063f7')
Collision number 63: ('006bcc', '0063f7')
Collision number 64: ('007158', '00d6c1')
Collision number 65: ('006bcc', '0063f7')
Collision number 66: ('006bcc', '0063f7')
Collision number 67: ('006bcc', '0063f7')
Collision number 68: ('007158', '00d6c1')
Collision number 69: ('007158', '00d6c1')
Collision number 70: ('006bcc', '0063f7')
Collision number 71: ('006bcc', '0063f7')
Collision number 72: ('007158', '00d6c1')
Collision number 73: ('006bcc', '0063f7')
Collision number 74: ('007158', '00d6c1')
Collision number 75: ('006bcc', '0063f7')
Collision number 76: ('006bcc', '0063f7')
Collision number 77: ('006bcc', '0063f7')
Collision number 78: ('006bcc', '0063f7')
Collision number 79: ('006bcc', '0063f7')
Collision number 80: ('007158', '00d6c1')
Collision number 81: ('00cfde', '00f1a4')
Collision number 82: ('006bcc', '0063f7')
Collision number 83: ('0026a8', '0089ae')
Collision number 84: ('006bcc', '0063f7')
Collision number 85: ('006bcc', '0063f7')
Collision number 86: ('006bcc', '0063f7')
Collision number 87: ('006bcc', '0063f7')
Collision number 88: ('006bcc', '0063f7')
Collision number 89: ('006bcc', '0063f7')
Collision number 90: ('006bcc', '0063f7')
Collision number 91: ('006bcc', '0063f7')
Collision number 92: ('00b2d9', '005f02')
Collision number 93: ('002d3a', '00790e')
Collision number 94: ('007b46', '007292')
Collision number 95: ('006bcc', '0063f7')
Collision number 96: ('006bcc', '0063f7')
Collision number 97: ('006bcc', '0063f7')
Collision number 98: ('006bcc', '0063f7')
Collision number 99: ('006bcc', '0063f7')
Collision number 100: ('006bcc', '0063f7')
Collision number 101: ('0091ae', '003ef8')
Collision number 102: ('006bcc', '0063f7')
Collision number 103: ('008107', '00bd24')
Collision number 104: ('007158', '00d6c1')
Collision number 105: ('006bcc', '0063f7')
Collision number 106: ('006bcc', '0063f7')
Collision number 107: ('007158', '00d6c1')
Collision number 108: ('002d3a', '00790e')
Collision number 109: ('006bcc', '0063f7')
Collision number 110: ('007158', '00d6c1')
Collision number 111: ('006bcc', '0063f7')
Collision number 112: ('006bcc', '0063f7')
Collision number 113: ('007158', '00d6c1')
Collision number 114: ('007158', '00d6c1')
Collision number 115: ('006bcc', '0063f7')
Collision number 116: ('006bcc', '0063f7')
Collision number 117: ('008107', '00bd24')
Collision number 118: ('002d3a', '00790e')
Collision number 119: ('007158', '00d6c1')
Collision number 120: ('006bcc', '0063f7')
Collision number 121: ('006bcc', '0063f7')
Collision number 122: ('006bcc', '0063f7')
Collision number 123: ('006bcc', '0063f7')
Collision number 124: ('006bcc', '0063f7')
Collision number 125: ('006bcc', '0063f7')
Collision number 126: ('006bcc', '0063f7')
Collision number 127: ('002d3a', '00790e')
Collision number 128: ('006bcc', '0063f7')
Collision number 129: ('008107', '00bd24')
Collision number 130: ('006bcc', '0063f7')
Collision number 131: ('006bcc', '0063f7')
Collision number 132: ('0091ae', '003ef8')
Collision number 133: ('006bcc', '0063f7')
Collision number 134: ('006bcc', '0063f7')
Collision number 135: ('006bcc', '0063f7')
Collision number 136: ('006bcc', '0063f7')
Collision number 137: ('006bcc', '0063f7')
Collision number 138: ('006bcc', '0063f7')
Collision number 139: ('006bcc', '0063f7')
Collision number 140: ('006bcc', '0063f7')
Collision number 141: ('007158', '00d6c1')
Collision number 142: ('006bcc', '0063f7')
Collision number 143: ('006bcc', '0063f7')
Collision number 144: ('006bcc', '0063f7')
Collision number 145: ('002d3a', '00790e')
Collision number 146: ('006bcc', '0063f7')
Collision number 147: ('007158', '00d6c1')
Collision number 148: ('006bcc', '0063f7')
Collision number 149: ('007158', '00d6c1')
Collision number 150: ('008107', '00bd24')
Collision number 151: ('006bcc', '0063f7')
Collision number 152: ('006bcc', '0063f7')
Collision number 153: ('007158', '00d6c1')
Collision number 154: ('006bcc', '0063f7')
Collision number 155: ('006bcc', '0063f7')
Collision number 156: ('006bcc', '0063f7')
Collision number 157: ('006bcc', '0063f7')
Collision number 158: ('006bcc', '0063f7')
Collision number 159: ('006bcc', '0063f7')
Collision number 160: ('006bcc', '0063f7')
Collision number 161: ('006bcc', '0063f7')
Collision number 162: ('006bcc', '0063f7')
Collision number 163: ('006bcc', '0063f7')
Collision number 164: ('007158', '00d6c1')
Collision number 165: ('006bcc', '0063f7')
Collision number 166: ('006bcc', '0063f7')
Collision number 167: ('007158', '00d6c1')
Collision number 168: ('006bcc', '0063f7')
Collision number 169: ('008107', '00bd24')
Collision number 170: ('002d3a', '00790e')
Collision number 171: ('006bcc', '0063f7')
Collision number 172: ('006bcc', '0063f7')
Collision number 173: ('006bcc', '0063f7')
Collision number 174: ('007158', '00d6c1')
Collision number 175: ('006bcc', '0063f7')
Collision number 176: ('007158', '00d6c1')
Collision number 177: ('006bcc', '0063f7')
Collision number 178: ('007158', '00d6c1')
Collision number 179: ('006bcc', '0063f7')
Collision number 180: ('006bcc', '0063f7')
Collision number 181: ('007158', '00d6c1')
Collision number 182: ('006bcc', '0063f7')
Collision number 183: ('0091ae', '003ef8')
Collision number 184: ('006bcc', '0063f7')
Collision number 185: ('006bcc', '0063f7')
Collision number 186: ('007158', '00d6c1')
Collision number 187: ('006bcc', '0063f7')
Collision number 188: ('006bcc', '0063f7')
Collision number 189: ('006bcc', '0063f7')
Collision number 190: ('006bcc', '0063f7')
Collision number 191: ('007158', '00d6c1')
Collision number 192: ('0091ae', '003ef8')
Collision number 193: ('006bcc', '0063f7')
Collision number 194: ('006bcc', '0063f7')
Collision number 195: ('006bcc', '0063f7')
Collision number 196: ('002d3a', '00790e')
Collision number 197: ('006bcc', '0063f7')
Collision number 198: ('006bcc', '0063f7')
Collision number 199: ('007158', '00d6c1')
Collision number 200: ('00cfde', '00ae1c')
Out bits shaXX number = 17
----------------------------------------------
Collision number 1: ('00f4a480', '002db280')
Collision number 2: ('00f4a480', '002db280')
Collision number 3: ('00f4a480', '002db280')
Collision number 4: ('00f4a480', '002db280')
Collision number 5: ('00f4a480', '002db280')
Collision number 6: ('00f4a480', '002db280')
Collision number 7: ('000ed180', '00afbd00')
Collision number 8: ('00f4a480', '002db280')
Collision number 9: ('00f4a480', '002db280')
Collision number 10: ('00f4a480', '002db280')
Collision number 11: ('00f4a480', '002db280')
Collision number 12: ('00f4a480', '002db280')
Collision number 13: ('00f4a480', '002db280')
Collision number 14: ('00f4a480', '002db280')
Collision number 15: ('00f4a480', '002db280')
Collision number 16: ('00f4a480', '002db280')
Collision number 17: ('00f4a480', '002db280')
Collision number 18: ('00f4a480', '002db280')
Collision number 19: ('00f4a480', '002db280')
Collision number 20: ('00c36f80', '00c0ba00')
Collision number 21: ('000ed180', '00afbd00')
Collision number 22: ('00f4a480', '002db280')
Collision number 23: ('00f4a480', '002db280')
Collision number 24: ('00f4a480', '002db280')
Collision number 25: ('00f4a480', '002db280')
Collision number 26: ('00f4a480', '002db280')
Collision number 27: ('00094f00', '00c89e00')
Collision number 28: ('000ed180', '00afbd00')
Collision number 29: ('00f4a480', '002db280')
Collision number 30: ('000ed180', '00afbd00')
Collision number 31: ('00f4a480', '002db280')
Collision number 32: ('00f4a480', '002db280')
Collision number 33: ('00f4a480', '002db280')
Collision number 34: ('000ed180', '00afbd00')
Collision number 35: ('00f4a480', '002db280')
Collision number 36: ('00f4a480', '002db280')
Collision number 37: ('00f4a480', '002db280')
Collision number 38: ('00f4a480', '002db280')
Collision number 39: ('00f4a480', '002db280')
Collision number 40: ('00f4a480', '002db280')
Collision number 41: ('00f4a480', '002db280')
Collision number 42: ('000ed180', '00afbd00')
Collision number 43: ('000ed180', '00afbd00')
Collision number 44: ('00f4a480', '002db280')
Collision number 45: ('00f4a480', '002db280')
Collision number 46: ('00f4a480', '002db280')
Collision number 47: ('00f4a480', '002db280')
Collision number 48: ('00f4a480', '002db280')
Collision number 49: ('00f4a480', '002db280')
Collision number 50: ('00f4a480', '002db280')
Collision number 51: ('00f4a480', '002db280')
Collision number 52: ('00f4a480', '002db280')
Collision number 53: ('00f4a480', '002db280')
Collision number 54: ('00f4a480', '002db280')
Collision number 55: ('00f4a480', '002db280')
Collision number 56: ('00f4a480', '002db280')
Collision number 57: ('00f4a480', '002db280')
Collision number 58: ('00452f00', '00895280')
Collision number 59: ('00f4a480', '002db280')
Collision number 60: ('00f4a480', '002db280')
Collision number 61: ('00f4a480', '002db280')
Collision number 62: ('00f4a480', '002db280')
Collision number 63: ('00f4a480', '002db280')
Collision number 64: ('00f4a480', '002db280')
Collision number 65: ('00f4a480', '002db280')
Collision number 66: ('000ed180', '00afbd00')
Collision number 67: ('00f4a480', '002db280')
Collision number 68: ('000ed180', '00afbd00')
Collision number 69: ('00f4a480', '002db280')
Collision number 70: ('00f4a480', '002db280')
Collision number 71: ('00f4a480', '002db280')
Collision number 72: ('000ed180', '00afbd00')
Collision number 73: ('00f4a480', '002db280')
Collision number 74: ('00f4a480', '002db280')
Collision number 75: ('00f4a480', '002db280')
Collision number 76: ('00f4a480', '002db280')
Collision number 77: ('00f4a480', '002db280')
Collision number 78: ('000ed180', '00afbd00')
Collision number 79: ('00f4a480', '002db280')
